date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:53:09	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Oct%202022%2014:23:09%20GMT	https://themes.muffingroup.com/robots.txt		(from )
19:53:10	110959/110959	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:51:38%20GMT	https://themes.muffingroup.com/be/farm2/	C:/Users/dell/Desktop/barath/agri2/themes.muffingroup.com/be/farm2/index.html	(from )
19:53:11	5430/5430	---M-Z	200	added ('OK')	image/x-icon	etag:%221536-5c8905082cd46-gzip%22	https://themes.muffingroup.com/be/farm2/wp-content/themes/betheme/images/favicon.ico	C:/Users/dell/Desktop/barath/agri2/themes.muffingroup.com/be/farm2/wp-content/themes/betheme/images/favicon.ico	(from https://themes.muffingroup.com/be/farm2/)
19:53:12	131495/131495	---M-Z	200	added ('OK')	text/css	etag:%224caf-5ebdb8d0e321a%22	https://themes.muffingroup.com/be/farm2/wp-content/cache/minify/fe9c8.css	C:/Users/dell/Desktop/barath/agri2/themes.muffingroup.com/be/farm2/wp-content/cache/minify/fe9c8.css	(from https://themes.muffingroup.com/be/farm2/)
19:53:13	2084/2084	---MC-	200	added ('OK')	application/rss+xml	etag:%22ea9a4cd1c64942bc19bbef8b8a0c2b82%22	https://themes.muffingroup.com/be/farm2/feed/	C:/Users/dell/Desktop/barath/agri2/themes.muffingroup.com/be/farm2/feed/index.html	(from https://themes.muffingroup.com/be/farm2/)
19:53:14	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/dell/Desktop/barath/agri2/www.google-analytics.com/analytics.js	(from https://themes.muffingroup.com/be/farm2/)
19:53:15	2013/2013	---MC-	200	added ('OK')	application/rss+xml	etag:%22d40ce21582404a889ebe8436e0cf32bb%22	https://themes.muffingroup.com/be/farm2/comments/feed/	C:/Users/dell/Desktop/barath/agri2/themes.muffingroup.com/be/farm2/comments/feed/index.html	(from https://themes.muffingroup.com/be/farm2/)
19:53:15	1054/1054	---MC-	200	added ('OK')	application/rss+xml	etag:%22d40ce21582404a889ebe8436e0cf32bb%22	https://themes.muffingroup.com/be/farm2/home/feed/	C:/Users/dell/Desktop/barath/agri2/themes.muffingroup.com/be/farm2/home/feed/index.html	(from https://themes.muffingroup.com/be/farm2/)
19:53:15	477093/477093	---M-Z	200	added ('OK')	text/css	etag:%22132f6-5ec0467436701%22	https://themes.muffingroup.com/be/farm2/wp-content/cache/minify/77b70.css	C:/Users/dell/Desktop/barath/agri2/themes.muffingroup.com/be/farm2/wp-content/cache/minify/77b70.css	(from https://themes.muffingroup.com/be/farm2/)
19:53:16	161/161	---M--	200	added ('OK')	image/png	etag:%22a1-5b84f4349c0e5%22	https://themes.muffingroup.com/be/farm2/wp-content/uploads/2020/12/farm2-bg.png	C:/Users/dell/Desktop/barath/agri2/themes.muffingroup.com/be/farm2/wp-content/uploads/2020/12/farm2-bg.png	(from https://themes.muffingroup.com/be/farm2/)
